Class,Accuracy
advertisement,93.83697813121272
budget,88.30339321357286
email,97.65500794912559
filefolder,97.46735259200634
form,81.00558659217877
handwritten,95.02369668246445
invoice,88.97860314897052
letter,89.65097402597402
memo,0.0
